Run	Strain	Genotype	Isolation Source	Temp	Time	Treatment	DOI
SRR7500701	NCTC12661					Spiral morphotype exponential phase	
SRR7500702	NCTC12661					Spiral morphotype exponential phase	
SRR7500703	NCTC12661					Spiral morphotype exponential phase	
SRR7500704	NCTC12661					Spiral morphotype exponential phase	
SRR7500705	NCTC12661					Spiral morphotype exponential phase	
SRR7500706	NCTC12661					Spiral morphotype stationary phase	
SRR7500707	NCTC12661					Spiral morphotype stationary phase	
SRR7500708	NCTC12661					Spiral morphotype stationary phase	
SRR7500709	NCTC12661					Spiral morphotype stationary phase	
SRR7500710	NCTC12661					Spiral morphotype stationary phase	
SRR7500711	NCTC12661					Spiral morphotype stationary phase	
SRR7500712	NCTC12661					Spiral morphotype stationary phase	
SRR7500713	NCTC12661					Spiral morphotype stationary phase	
SRR7500714	NCTC12661					Spiral morphotype stationary phase	
SRR7500715	NCTC12661					Spiral morphotype stationary phase	
SRR7500716	NCTC12661					Spiral morphotype stationary phase	
SRR7500717	NCTC12661					Spiral morphotype stationary phase	
SRR7500718	NCTC12661					Filamentous morphotype stationary phase	
SRR7500719	NCTC12661					Filamentous morphotype stationary phase	
SRR7500720	NCTC12661					Filamentous morphotype stationary phase	
SRR7500721	NCTC12661					Filamentous morphotype stationary phase	
SRR7500722	NCTC12661					Filamentous morphotype stationary phase	
SRR7500723	NCTC12661					Filamentous morphotype stationary phase	
SRR7500724	NCTC12661					Filamentous morphotype stationary phase	
SRR7500725	NCTC12661					Filamentous morphotype stationary phase	
SRR7500726	NCTC12661					Filamentous morphotype stationary phase	
SRR7500727	NCTC12661					Filamentous morphotype stationary phase	
SRR7500728	NCTC12661					Filamentous morphotype stationary phase	
SRR7500729	NCTC12661					Filamentous morphotype stationary phase	
