target_id,SRR7478650,SRR7478651,SRR7478652,SRR7478653,SRR7478654,SRR7478655,SRR7478656,SRR7478657,SRR7478658,SRR7478659,SRR7478660,SRR7478661,SRR7478663,SRR7478664,SRR7478665,SRR7478666,SRR7478667,SRR7478668,SRR7478669,SRR7478670,SRR7478671,SRR7478672,SRR7478673,SRR7478675,SRR7478676,SRR7478677,SRR7478678,SRR7478682,SRR7478683,SRR7500695,SRR7500696,SRR7500697,SRR7500698,SRR7500704,SRR7500705,SRR7500706,SRR7500708,SRR7500709,SRR7500710,SRR7500711,SRR7500712,SRR7500713,SRR7500714,SRR7500718,SRR7500720,SRR7500722,SRR7500724,SRR7500725,SRR7500726,SRR7500729
OIT94114,167.605,161.454,160.548,161.955,170.146,170.167,168.57299999999998,166.297,178.13,180.635,179.34400000000002,173.885,56.4268,54.8665,52.3705,36.9674,34.5946,35.518,37.4628,48.4382,46.0833,44.7002,47.7433,64.331,71.4947,63.5849,0.0,90.8841,84.7313,211.952,210.463,211.17700000000002,94.9867,139.553,136.05,122.85600000000001,132.032,133.664,144.409,151.85399999999998,145.904,147.744,136.997,67.5233,68.3404,66.1464,61.7733,65.3638,64.9297,65.2259
OIT94115,286.237,297.853,279.478,296.26599999999996,324.444,344.565,340.29,329.963,317.573,322.555,312.779,308.578,84.2833,78.5433,75.2773,65.1244,70.7216,69.3228,68.7554,70.2703,74.6448,69.6874,76.8124,148.032,138.124,132.873,0.0,163.253,167.173,233.06900000000002,240.037,244.762,224.138,216.484,214.067,203.825,194.22,189.863,235.03599999999997,235.81400000000002,231.18599999999998,238.19,211.292,78.2599,77.4275,73.0591,75.4555,69.4038,80.7697,68.9369
OIT94116,117.698,116.84899999999999,113.073,115.949,116.13600000000001,121.022,119.615,124.288,127.723,124.352,124.056,121.72200000000001,93.4098,101.27600000000001,99.1158,82.7706,79.5357,89.5941,88.5777,85.75299999999999,88.6518,86.5492,83.529,123.325,122.087,132.63,146.764,116.19200000000001,112.586,157.412,147.109,151.385,111.86399999999999,114.72200000000001,113.287,88.9077,78.3303,80.0495,100.448,102.079,104.139,105.368,127.007,97.3152,90.8925,158.224,147.75,152.24200000000002,157.325,152.283
OIT94117,131.80100000000002,122.40799999999999,125.34899999999999,125.22,136.189,130.721,130.696,131.805,152.525,151.011,145.504,145.33,99.6081,92.9948,90.5924,77.3372,79.3219,81.0339,81.8529,81.0369,83.963,84.9804,86.6027,84.994,78.557,86.3603,0.0,103.81700000000001,98.8481,176.46900000000002,177.94099999999997,177.89,120.485,106.90799999999999,102.819,45.8131,39.7542,41.8681,37.446999999999996,45.4048,41.4005,42.8493,109.13799999999999,82.8804,89.0695,91.4498,90.8749,94.3194,94.6904,92.4929
OIT94118,6.39165,6.0948400000000005,5.70761,7.654380000000001,5.51877,6.15837,8.13536,6.54343,5.8702,6.05379,6.99165,6.00782,3.01868,2.5169799999999998,1.6871900000000002,3.19849,2.6585,2.21065,2.90504,3.8347,2.7608099999999998,1.9347400000000001,3.07861,5.54905,4.49414,6.6709,0.0,5.38037,5.04435,49.9719,53.3051,53.0273,3.5535400000000004,8.78074,8.66238,1.08095,1.64648,2.19971,5.13044,5.31939,4.47717,5.29971,10.7711,6.33115,5.53503,6.38446,6.58825,5.33959,4.61134,6.695130000000001
OIT94119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIT93915,225.442,226.287,225.292,237.011,177.793,197.442,186.514,185.072,150.476,176.61900000000003,162.05,162.726,40.4428,36.2926,40.4214,26.903000000000002,18.5769,22.6336,21.0388,30.3686,31.3874,35.6763,30.7321,110.31299999999999,114.32700000000001,122.085,0.0,95.6026,94.99600000000001,220.68099999999998,244.33900000000003,242.313,165.541,254.195,246.958,231.09799999999998,256.126,228.735,228.416,226.018,242.426,229.25099999999998,234.59400000000002,90.4634,92.4063,39.3642,35.6238,37.2432,39.4564,35.4256
OIT93916,284.202,283.627,279.738,274.06,250.535,264.422,261.816,257.972,216.92700000000002,208.61599999999999,216.24900000000002,225.55599999999998,63.4783,60.6692,65.5616,46.9847,46.7335,47.5719,46.681999999999995,56.4673,53.998999999999995,55.4674,53.1401,229.36700000000002,240.16099999999997,170.54,0.0,191.86,193.398,423.588,421.667,428.17900000000003,138.864,420.202,418.025,413.923,427.333,424.57599999999996,463.478,478.05400000000003,468.981,475.39300000000003,413.11400000000003,286.85,290.533,95.3246,110.079,106.204,106.661,109.109
OIT93917,101.88,98.5957,107.65,103.699,93.8826,97.6653,84.7276,76.8743,104.932,104.898,84.5132,100.11200000000001,34.7077,32.8204,30.8574,23.9229,15.7572,13.8226,14.7586,28.0536,25.7142,27.8494,30.4577,80.5978,81.0163,33.8905,0.0,71.3423,71.4287,153.579,134.944,158.225,58.6731,134.2,119.344,140.72299999999998,126.167,125.72200000000001,165.77,181.375,190.753,155.851,127.84899999999999,75.6812,78.5419,31.4814,38.7005,29.2137,32.073,28.4376
OIT93918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
